key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
#,ENpc[Name],Objective,Description{1},Description{2},Description{3},CompletionBonusExp,RewardExp,CompletionBonusGil,RewardGil,,,,,,,,
int32,ENpcResident,str,str,str,str,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint16,uint16,bool,bool
0,0,"","","","",0,0,0,0,0,0,0,0,0,0,False,False
1,1004746,"Éliminez les ennemis sans vous faire voir<Indent/>!","Les ennemis d'un même groupe combattent solidairement.
Attention de ne pas attirer l'attention de plusieurs groupes en même temps<Indent/>!
Surveillez le champ de vision ennemi<Indent/>!
Prenez aussi garde aux attaques ennemies qui projettent les personnages en arrière.","Si le goobbue vous repère, tous les ennemis vous attaqueront<Indent/>!
Restez hors de son champ de vision, et éliminez les groupes d'ennemis un par un.","Cet exercice de bataille testera votre aptitude à gérer plusieurs groupes d'ennemis.

Apprenez à séparer des ennemis de leur groupe en les attaquant à distance, et à les combattre hors de vue des autres créatures.",1640,330,1120,50,0,0,0,0,0,0,False,False
2,1004742,"Vainquez Bockman et ses serviteurs de l'enfer !","Lorsque Bockman subit des dégâts, il invoque des damnés pour combattre à ses côtés. 
Le combattant chargé de la défense de l'équipe doit s'efforcer d'attirer l'inimitié de l'ensemble des adversaires sur lui pour protéger ses compagnons.","Plus il y a d'ennemis sur le champ de bataille, plus il risque d'y avoir de victimes dans l'équipe. 
Les attaquants doivent s'efforcer d'éliminer les damnés appelés en renfort dès leur apparition pour réduire les effectifs adverses.","Bockman, un fantôme errant prisonnier du royaume matériel, a repris possession de sa légendaire armure et attend patiemment près de l'Hypogée de Tam-Tara que quelqu'un ait le courage de le défier. Non seulement ce colossal chevalier brandit une imposante lame capable de terrasser plusieurs victimes d'un seul coup, mais lorsqu'il se sent en danger, Bockman invoque ses serviteurs damnés depuis les profondeurs du septième cercle infernal.

Venez à bout de cette âme en peine et renvoyez-la vers l'au-delà où l'attend enfin la paix.",1710,340,1160,50,0,0,0,0,0,0,False,False
3,1004744,"Forcez les 3 portes et vainquez le saute-saillie<Indent/>!","Certaines portes s'ouvrent au<SoftHyphen/>to<SoftHyphen/>ma<SoftHyphen/>ti<SoftHyphen/>que<SoftHyphen/>ment quand tous les ennemis sont vaincus et la zone sécurisée. D'autres par contre doivent être ouvertes avec un levier.","Quand vous arrivez dans la dernière chambre, les yarzons tenteront de casser les rochers derrière lesquels ils sont prisonniers. 
Vainquez le saute-saillie avant que la vermine ne le rejoigne.","Cet exercice de bataille testera votre aptitude à percer les défenses ennemies pour vous introduire dans leur camp.

Éliminez les unités ennemies dans chacune des trois antichambres pour progresser vers la dernière salle et affronter le crapaud saute-saillie qui en a fait sa tanière. Il est important d'en finir au plus vite avec la créature pour éviter les yarzons tapis derrière les rochers qui sortiront dès qu'ils sentiront l'odeur du sang.",3110,620,1740,80,0,0,0,0,0,0,False,False
4,1004744,"Affaiblissez la gilkhélone et attirez-la dans un piège<Indent/>!","Les bandits tenteront de soigner la gilkhélone tant qu'elle est proche d'eux. Essayez de la maintenir hors de portée de leurs sorts.","Tuez les élémentaires de feu et utilisez leurs noyaux pour mettre le feu à la touffe d'herbe. La fumée soporifique dégagée calmera la gilkhélone, ce qui vous permettra de la capturer plus facilement.","Teledji Adeledji, un riche noble, a vu son cher animal de compagnie, une gilkhélone, kidnappé par des bandits qui demandent une rançon pour le lui rendre. Homme de principes, Teledji Adeledji a décidé de ne pas négocier avec les preneurs d'otages, et d'offrir une récompense à quiconque lui rapporterait l'animal sain et sauf.

Vous devrez avoir recours à une herbe qui devient soporifique lorsqu'elle brûle pour capturer le précieux reptile. Après avoir affaibli la gilkhélone, abattez des élémentaires de feu et utilisez leurs noyaux pour mettre le feu aux herbes. La fumée produite devrait être assez puissante pour endormir la créature, à condition que celle-ci soit assez près des flammes.",3240,640,1810,80,0,0,0,0,0,0,False,False
5,1004742,"Éliminez la source du pollen toxique<Indent/>!","Les nuages de pollen toxique qui entourent les boules de pollen infligent de sérieux dégâts. Attention de ne pas y séjourner trop longtemps<Indent/>!","Si l'ennemi se trouve dans une zone contaminée par le poison, il faut l'en éloigner avant de l'affronter.","Les monstres végétaux de la forêt sont arrivés à maturité et leurs fleurs ont libéré çà et là des boules de pollen empoisonné pour se reproduire. Inhalé, ce pollen peut causer des irritations, des nausées et, en cas d'exposition prolongée, la mort. Il est crucial d'éliminer ces fleurs du mal avant que la Sylve des Douze ne soit com<SoftHyphen/>plè<SoftHyphen/>te<SoftHyphen/>ment embrumée par ce nuage mortel.

Prenez garde à vos mouvements pour ne pas vous approcher du poison violent du pollen, et attirez l'ennemi dans un endroit suf<SoftHyphen/>fi<SoftHyphen/>sam<SoftHyphen/>ment sûr pour combattre<Indent/>!",3760,750,2280,110,0,0,0,0,0,0,False,False
6,1004742,"Attaquez l'ennemi en petits groupes<Indent/>!","Les guetteurs Ventrerouge réagiront au moindre signe de menace et appelleront des renforts s'ils se sentent en infériorité numérique. Essayez de vaincre ces hors-la-loi en petits groupes pour éviter de vous faire submerger par un trop grand nombre d'attaques en même temps.","Les Ventrerouge ont dans leurs rangs des psalmodieurs qui soigneront les blessures de leurs compagnons. 
Commencez par les éliminer pour que l'opération se termine au plus vite.","Un groupe de célèbres hors-la-loi connus sous le nom de Ventrerouge cherche à établir un nouveau quartier général près des Mille Gueules de Toto-Rak, et s'est établi dans les environs. Il faut frapper avant qu'ils n'arrivent à leurs fins et ne se constituent un nouveau Guêpier. Leur chef risque d'appeler des renforts lorsqu'il sera attaqué.

Commencez par scruter les mouvements de l'ensemble des Ventrerouge, puis attaquez-les tant qu'ils sont en petits groupes en surveillant les soigneurs. La prudence est de mise<Indent/>; gardez à l'esprit que des renforts peuvent surgir à tout moment<Indent/>!",4350,870,2500,120,0,0,0,0,0,0,False,False
7,1004742,"Réduisez Briaxio l'Illusoire au silence<Indent/>!","Les altérations d'état infligées par les monstres peuvent être soignées à l'aide d'objets ou du sort Guérison.","Diviser votre équipe en deux unités peut s'avérer utile : une unité pour éliminer le redoutable Briaxio et une autre pour se charger des monstres envoûtés.","Des Sylphes hostiles, qui pré<SoftHyphen/>fé<SoftHyphen/>re<SoftHyphen/>raient voir la Sylve des Douze en proie aux flammes plutôt que de faire la paix avec les habitants de Gridania, se sont mis à utiliser des tours interdits pour charmer des monstres de la forêt et leur faire commettre des actes impies.

Brièvement renforcées par la magie, ces créatures peuvent désormais affaiblir leurs victimes à l'aide de terribles poisons et d'attaques à distance. Si vous désirez libérer les créatures de la forêt de l'influence des Sylphes, vous devrez vaincre leur chef, Briaxio l'Illusoire.",4400,880,2800,140,0,0,0,0,0,0,False,False
8,1004742,"Détruisez les barricades et chassez les Gobelins !","Les bombes des Gobelins n'explosent pas im<SoftHyphen/>mé<SoftHyphen/>dia<SoftHyphen/>te<SoftHyphen/>ment en touchant le sol. Si l'une d'elles atterrit près de vous, éloignez-vous rapidement pour ne pas vous faire prendre dans l'explosion.","Les barricades des Gobelins peuvent être détruites par de simples attaques. Elles sont également sensibles aux explosions des bombes. Tirez-en parti pour réduire à zéro leurs points de vie et les faire voler en éclats<Indent/>!","Un groupe de Gobelins sans foi ni loi s'est emparé de L'Oubli de la Mère et bloque l'accès à certaines des parties les plus reculées de la forêt et aux hauteurs de la Sylve des Douze. Désormais, tous ceux qui ont l'audace ou la malchance d'en approcher se font canarder de bombes à retardement lancées par-dessus leurs barricades de fortune.

À vous de savoir utiliser les bombes à retardement de l'ennemi à votre avantage pour détruire ces barrières. Anéantissez les Gobelins, éliminez leur chef, et regagnez le contrôle de la zone afin que chacun puisse de nouveau traverser le passage sans craindre pour sa vie.",4590,910,2920,140,0,0,0,0,0,0,False,False
